Player,Group,Team,Matches,Inns,Overs,Runs,Wkts,BBF,Mdns,Dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb
Dinush Dewanarayana,D,Bonn CC Yellow,5,4,14,106,6,18/ 2,0,36,7.57,17.67,14,0,0,0,7,1
Chandu Ranwala Ranwala Arachchige,D,Bonn CC Yellow,4,4,13,98,5,19/ 2,0,29,7.54,19.6,15.6,0,0,0,13,0
Shihan Samsudeen,C,Bonn CC Blue,3,3,12,64,5,26/ 3,1,26,5.33,12.8,14.4,0,0,0,7,0
Senani Liyana Arachchige,D,Bonn CC Yellow,5,5,20,114,4,12/ 1,1,62,5.7,28.5,30,0,0,0,12,0
Prasad Buwanekabahu,D,Bonn CC Yellow,4,4,14,85,4,19/ 2,0,47,6.07,21.25,21,0,0,0,12,0
Vasanth Ramar,C,Bonn CC Blue,2,2,7.2,20,3,10/ 3,0,15,2.73,6.67,14.7,0,0,0,5,0
Kaushik Ameer,C,Bonn CC Blue,4,3,7,35,3,4/ 3,0,11,5,11.67,14,0,0,0,2,0
Ramesh Babu Chintha,C,Bonn CC Blue,2,2,7.3,73,3,38/ 3,0,10,9.73,24.33,15,0,0,0,17,0
Thamindu Dilshitha Pathiranage,D,Bonn CC Yellow,3,3,9,99,2,30/ 2,0,15,11,49.5,27,0,0,0,11,0
Ashish Bakshi,C,Bonn CC Blue,3,3,4,38,2,3/ 2,0,7,9.5,19,12,0,0,0,6,0
William Andrew Thorp Marriage,C,Bonn CC Blue,2,2,7,46,2,24/ 2,0,25,6.57,23,21,0,0,0,1,0
Rajveer Sharma,C,Bonn CC Blue,3,2,4,34,2,10/ 1,0,6,8.5,17,12,0,0,0,1,0
Tuan Mohamed Dilshan Rajudeen,C,Bonn CC Blue,3,1,2,10,1,10/ 1,0,5,5,10,12,0,0,0,2,0
Bipin Vishweswaraih,D,Bonn CC Yellow,1,1,2,7,1,7/ 1,0,8,3.5,7,12,0,0,0,0,0
Viprendra Joshi,D,Bonn CC Yellow,3,2,4.5,18,1,9/ 1,0,19,3.72,18,29,0,0,0,7,0
Santhoshkumar Sundararaj,C,Bonn CC Blue,4,4,13,92,1,37/ 1,0,29,7.08,92,78,0,0,0,8,0
